ticker,company_name,sector,bse_code,isin,index_weight_pct,source_verified,market_cap_usd,aliases,extra_terms
M&M,Mahindra & Mahindra Ltd,Automobile and Auto Components,500520,INE101A01026,2.07,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Mahindra|Mahindra and Mahindra,
KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services,500247,INE237A01028,2.04,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Kotak Mahindra|Kotak Bank,
ITC,ITC Ltd,Fast Moving Consumer Goods,500875,INE154A01025,1.99,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,ITC Limited,
TITAN,Titan Company Ltd,Consumer Durables,500114,INE280A01028,1.90,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Titan Company,
HCLTECH,HCL Technologies Ltd,Information Technology,532281,INE860A01027,1.88,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,HCL Tech|HCL Technologies,
ULTRACEMCO,UltraTech Cement Ltd,Construction Materials,532538,INE481G01011,1.82,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,UltraTech Cement,
NTPC,NTPC Ltd,Power,532555,INE733E01010,1.81,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,NTPC Limited,
ONGC,Oil & Natural Gas Corporation Ltd,Oil Gas & Consumable Fuels,500312,INE213A01029,1.77,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Oil and Natural Gas,
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Services,532921,INE742F01042,1.68,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Adani Ports,
BEL,Bharat Electronics Ltd,Capital Goods,500049,INE263A01024,1.66,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Bharat Electronics,
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,532978,INE918I01026,1.54,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Bajaj Finserv,
JSWSTEEL,JSW Steel Ltd,Metals & Mining,500228,INE019A01038,1.51,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,JSW Steel,
POWERGRID,Power Grid Corporation of India Ltd,Power,532898,INE752E01010,1.38,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Power Grid,
BAJAJ-AUTO,Bajaj Auto Ltd,Automobile and Auto Components,532977,INE917I01010,1.37,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Bajaj Auto,
ADANIENT,Adani Enterprises Ltd,Services,512599,INE423A01024,1.37,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Adani Enterprises,
COALINDIA,Coal India Ltd,Oil Gas & Consumable Fuels,533278,INE522F01014,1.36,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Coal India,
TATASTEEL,Tata Steel Ltd,Metals & Mining,500470,INE081A01020,1.25,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Tata Steel,
NESTLEIND,Nestle India Ltd,Fast Moving Consumer Goods,500790,INE239A01016,1.22,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Nestle India,
ZOMATO,Zomato Ltd,Consumer Services,543320,INE758T01015,1.18,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Zomato,
ASIANPAINT,Asian Paints Ltd,Consumer Durables,500820,INE021A01026,1.12,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Asian Paints,
EICHERMOT,Eicher Motors Ltd,Automobile and Auto Components,505200,INE066A01021,1.07,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Eicher Motors|Royal Enfield,
WIPRO,Wipro Ltd,Information Technology,507685,INE075A01022,1.04,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Wipro,
SBILIFE,SBI Life Insurance Company Ltd,Financial Services,540719,INE123W01016,1.02,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,SBI Life Insurance|SBI Life,
SHRIRAMFIN,Shriram Finance Ltd,Financial Services,511218,INE721A01013,0.99,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Shriram Finance,
GRASIM,Grasim Industries Ltd,Construction Materials,500300,INE047A01021,0.95,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Grasim Industries,
INDIGO,InterGlobe Aviation Ltd,Services,539448,INE646L01027,0.88,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,IndiGo|InterGlobe Aviation,
JIOFIN,Jio Financial Services Ltd,Financial Services,543986,INE758T01015,0.79,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Jio Financial Services|Jio Finance,
HDFCLIFE,HDFC Life Insurance Co Ltd,Financial Services,540777,INE795G01014,0.76,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,HDFC Life Insurance|HDFC Life,
TRENT,Trent Ltd,Consumer Services,500251,INE849A01020,0.68,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Trent|Westside|Zudio,
TATACONSUM,Tata Consumer Products Ltd,Fast Moving Consumer Goods,500800,INE192A01025,0.56,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Tata Consumer|Tata Global Beverages,
CIPLA,Cipla Ltd,Healthcare,500087,INE059A01026,0.55,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Cipla,
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,500124,INE089A01031,0.54,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Dr Reddy|Dr. Reddy's,
MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,543220,INE027H01010,0.53,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Max Healthcare,
TECHM,Tech Mahindra Ltd,Information Technology,532755,INE669C01036,0.52,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Tech Mahindra,
HINDALCO,Hindalco Industries Ltd,Metals & Mining,500440,INE038A01020,0.50,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Hindalco Industries,
TATAMOTORS,Tata Motors Ltd,Automobile and Auto Components,500570,INE155A01022,0.49,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Tata Motors,
HEROMOTOCO,Hero MotoCorp Ltd,Automobile and Auto Components,500182,INE158A01026,0.47,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Hero MotoCorp|Hero Honda,
